id,name,staticDataUrl,dynamicDataUrl,limitedAccess,uuid,latitude,longitude,city,country_code,province,region,mark,usage,accessPoints,capacity,contactPersons,minimumHeightInMeters,openingTimes,tariffs
245,"WP61C Westerpark 3.2 Houthaven",https://npropendata.rdw.nl/parkingdata/v2/static/586c9227-6f4d-4070-bafc-4541a9b55f9d,,0,586c9227-6f4d-4070-bafc-4541a9b55f9d,52.3942214264352,4.88149659318257,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
246,"Straatparkeren centrum Poeldijk (Westland)",https://npropendata.rdw.nl/parkingdata/v2/static/0a50f2a8-4855-41c4-83b5-72e8791cf38a,,0,0a50f2a8-4855-41c4-83b5-72e8791cf38a,,,,,,,onstreet,onstreet,0,,0,,0,1
247,"Parkeerplaats Waterstraat, Thorn",https://npropendata.rdw.nl/parkingdata/v2/static/8aaff0d2-31c5-44cd-9f18-1a9f54eb9ae6,,0,8aaff0d2-31c5-44cd-9f18-1a9f54eb9ae6,51.1587121743491,5.84401171900007,Maasgouw,nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
248,"Carpool Bakel-Helmond (Helmond)",https://npropendata.rdw.nl/parkingdata/v2/static/b1fae62d-f3ed-41ed-b73c-275344038cb0,,0,b1fae62d-f3ed-41ed-b73c-275344038cb0,51.488224,5.706451,Helmond,nl,Noord-Brabant,Zuid-Nederland,average,carpool,1,24,0,0.0,1,1
249,"Garages Langparkeren",https://npropendata.rdw.nl/parkingdata/v2/static/f3dca77a-ca11-4d5e-b545-b2c27dada953,,0,f3dca77a-ca11-4d5e-b545-b2c27dada953,,,,,,,onstreet,onstreet,0,,0,,0,0
250,"T14B_U03 10c Maassstraat_2",https://npropendata.rdw.nl/parkingdata/v2/static/7f8e22dc-194b-4d7c-be69-0a68380f435b,,0,7f8e22dc-194b-4d7c-be69-0a68380f435b,52.3426887277407,4.89689488466675,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,1
251,Boschveldweg,https://npropendata.rdw.nl/parkingdata/v2/static/956c4336-78f5-41cb-89e4-f30cc734ee28,,0,956c4336-78f5-41cb-89e4-f30cc734ee28,51.6931064927002,5.29561851532607,"'s-Hertogenbosch",nl,Noord-Brabant,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
252,"Straatparkeren Voorstraat te Poeldijk",https://npropendata.rdw.nl/parkingdata/v2/static/66612706-4076-43f1-97fb-88c9716d2132,,0,66612706-4076-43f1-97fb-88c9716d2132,,,,,,,onstreet,onstreet,0,,0,,0,1
253,"Blauwe zone Winkelcentrum De Ellekoot",https://npropendata.rdw.nl/parkingdata/v2/static/4729693e-d639-4ec6-9d2d-e3025cfde557,,0,4729693e-d639-4ec6-9d2d-e3025cfde557,,,,,,,onstreet,onstreet,0,,0,,0,1
254,"Zone 930",https://npropendata.rdw.nl/parkingdata/v2/static/294cb264-f710-4b79-8c84-b15cf5dbe3ed,,0,294cb264-f710-4b79-8c84-b15cf5dbe3ed,51.8806810783588,4.54067648497976,Rotterdam,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
255,"Parkeergarage Passage (Veenendaal)",https://npropendata.rdw.nl/parkingdata/v2/static/738095c9-bad4-42da-9b76-56d6a2400608,,0,738095c9-bad4-42da-9b76-56d6a2400608,52.02528,5.55709,Veenendaal,nl,Utrecht,Noordwest-Nederland,average,garage,1,530,0,1.9,1,1
256,"P+R Station Wierden",https://npropendata.rdw.nl/parkingdata/v2/static/e6f83f8b-044a-49f6-abea-da4796d20df0,,0,e6f83f8b-044a-49f6-abea-da4796d20df0,,,,,,,bad,"park and ride",0,,0,,0,1
